id	vernacularName	language	locality
274	guambixima	PORTUGUES	Sudeste
274	guamexira	PORTUGUES	Sudeste
274	guamixira	PORTUGUES	Sudeste
275	folha-de-serra	PORTUGUES	Rio de Janeiro
276	guambixim	PORTUGUES	
276	guambixima	PORTUGUES	
276	guamixira	PORTUGUES	
277	guamixira	PORTUGUES	Sudeste
277	teimosa	PORTUGUES	Sudeste
285	gramirim-café	PORTUGUES	Espírito Santo
301	matapira	PORTUGUES	Acre
301	mata-rabujo	PORTUGUES	Acre
301	pirarara-branca	PORTUGUES	Acre
342	folha-miúda	PORTUGUES	Bahia
342	mucambo	PORTUGUES	Bahia
342	pau-marfim	PORTUGUES	Pernambuco
342	pereiro-preto	PORTUGUES	Bahia
343	embira	PORTUGUES	
343	farinha-seca	PORTUGUES	
343	gramixinga	PORTUGUES	
343	guamixinga	PORTUGUES	
343	guamuxinga	PORTUGUES	
343	guarataia	PORTUGUES	
343	guataia	PORTUGUES	
343	guatambu	PORTUGUES	
343	marfim	PORTUGUES	
343	pau-cetim	PORTUGUES	
343	pau-liso	PORTUGUES	
343	pau-marfim	PORTUGUES	
343	pequiá-mamona	PORTUGUES	
401	bergamota	PORTUGUES	Sudeste e Sul
401	tangerina	PORTUGUES	Sudeste e Sul
401	mexeriqueira	PORTUGUES	Sudeste e Centro-Oeste
401	mixirica	PORTUGUES	Centro-Oeste, Nordeste
401	mexirica	PORTUGUES	Sudeste
401	poncã	PORTUGUES	
401	tangerina-poncã	PORTUGUES	
401	tangerina-comum	PORTUGUES	
401	mandarin	INGLES	
401	tangerine	INGLES	
401	naartjie	INGLES	
401	mandarim	PORTUGUES	
401	mimosa	PORTUGUES	
401	mexerica	PORTUGUES	
409	laranjeira	PORTUGUES	
409	laranja	PORTUGUES	
409	tangerina	PORTUGUES	
409	king-orange	INGLES	
409	laranja-king	PORTUGUES	
414	limão-eureka	PORTUGUES	
414	limão-siciliano	PORTUGUES	
414	limão	PORTUGUES	Sudeste e Centro-Oeste
414	limão-cravo	PORTUGUES	Sudeste e Centro-Oeste
414	limão-verdadeiro	PORTUGUES	
414	limoeiro	PORTUGUES	
414	limão-verde	PORTUGUES	
414	lima	PORTUGUES	
414	lemon	INGLES	
453	pitaguará	PORTUGUES	Sudeste
455	ovira-sapo	PORTUGUES	São Paulo
457	ovira-sapo	PORTUGUES	Sudeste
459	língua-de-vaca	PORTUGUES	Pará
459	pau-branco	PORTUGUES	Pará
461	laranjinha-pequena	PORTUGUES	Maranhão
461	pé-d'anta	PORTUGUES	Maranhão
466	café-bravo	PORTUGUES	Ceará
466	lírio-do-mato	PORTUGUES	Pernambuco
466	rapadura-branca	PORTUGUES	Espírito Santo
469	língua-de-vaca	PORTUGUES	Ceará
469	orelhudo	PORTUGUES	Espírito Santo
475	angustura-de-cheiro	PORTUGUES	Sudeste
479	laranjinha-brava	PORTUGUES	São Paulo
479	tira-prosa	PORTUGUES	São Paulo
485	angustura-venenosa	PORTUGUES	Amazonas
541	huaman-samana	PORTUGUES	Peru
541	sombrerillo	PORTUGUES	Bolívia
542	ardente	PORTUGUES	SP
542	brauninha	PORTUGUES	MG
542	cetim-amargoso	PORTUGUES	SP
542	pau-de-urubu	PORTUGUES	BA
542	pau-vidro	PORTUGUES	MG
542	piolho-de-urubu	PORTUGUES	BA
542	sabugueiro-da-mata	PORTUGUES	RJ e SP
555	alecrim-de-cobra	PORTUGUES	Alagoas
555	maricutinha	PORTUGUES	Bahia
555	alfavaca-brava	PORTUGUES	Pará
555	alfavaca-de-cobra	PORTUGUES	Amazonas
555	pimenta-de-lagarta	PORTUGUES	Pará
557	japaranduba	PORTUGUES	Pernambuco
581	canela-de-veado	PORTUGUES	SC
581	cutia	PORTUGUES	SC
583	laranjeira-do-mato	PORTUGUES	Sudeste
583	mamoninha	PORTUGUES	Sudeste
583	três-folhas	PORTUGUES	Sudeste e Sul
583	três-folhas-do-mato	PORTUGUES	Sudeste e Sul
589	chupa-ferro	PORTUGUES	Sudeste e Sul
589	guaxipita	PORTUGUES	Sudeste e Sul
589	guaxupita	PORTUGUES	Sudeste e Sul
589	mamonarana	PORTUGUES	Norte
589	pitaguará-amarelo	PORTUGUES	Sudeste e Sul
601	guarantã	PORTUGUES	Sudeste
601	guarataiá-vermelha	PORTUGUES	ES
607	burandiga	PORTUGUES	Pará
607	cocão-coringa	PORTUGUES	Ceará
607	mururezinho	PORTUGUES	Mato Grosso
617	pau-d'arquinho	PORTUGUES	Acre
621	amarelão	PORTUGUES	Maranhão
621	pau-amarelo	PORTUGUES	Pará
734	laranjinha-branca	PORTUGUES	Norte
734	akuciparandyp	PORTUGUES	Guiana Francesa e norte do Brasil
734	ucikarandu	PORTUGUES	Guiana Francesa e norte do Brasil
746	carrapateiro	PORTUGUES	São Paulo
746	chupa-ferro	PORTUGUES	Sudeste
746	guamixinga	PORTUGUES	Sudeste
746	jasmim-do-mato	PORTUGUES	Sudeste
